locale,af-ZA,ar,az-AZ,bg-BG,bn-BD,bs-BA,ca,cs,da,de,el,en,es,et-EE,eu,fa-IR,fi,fr,ga-IE,gl-ES,gu-IN,he,hi-IN,hr-HR,hu,id,it,ja,ka-GE,kk-KZ,km-KH,kn-IN,ko,ky-KG,lt-LT,lv-LV,mk-MK,ml-IN,mr-IN,ms,my,nb,nl,pa-IN,pl,pt-BR,pt-PT,ro-RO,ru,sk-SK,sl-SI,sq-AL,sr,sv,sw,ta-IN,te-IN,th,tl-PH,tr,ug,uk-UA,ur,vi,yue,zh-CN,zh-HK,zh-Hant
en,Afrikaans,Arabic,Azerbaijani,Bulgarian ,Bangla ,Bosnian,Catalan,Czech,Danish,German,Greek,English,Spanish,Estonian ,Basque,Persian ,Finnish,French,Irish,Galician,Gujarati ,Hebrew,Hindi,Croatian ,Hungarian,Indonesian,Italian,Japanese,Georgian,Kazakh,Khmer ,Kannada,Korean,Kyrgyz,Lithuanian,Latvian ,Macedonian,Malayalam,Marathi,Malay,Burmese,Norwegian Bokmål,Dutch,Punjabi ,Polish,Brazilian Portuguese,European Portuguese,Romanian,Russian,Slovak,Slovenian ,Albanian ,Serbian,Swedish,Swahili,Tamil ,Telugu ,Thai,Filipino ,Turkish,Uyghur,Ukrainian,Urdu,Vietnamese,Cantonese,Chinese (China),Chinese (Hong Kong),Traditional Chinese
af-ZA,Afrikaans,Arabies,Azerbeidjans ,Bulgaars ,Bengaals,Bosnies ,Katalaans,Tsjeggies,Deens,Duits,Grieks,Engels,Spaans,Estnies ,Baskies,Persies,Fins,Frans,Iers ,Galisies,Goedjarati ,Hebreeus,Hindi ,Kroaties,Hongaars,Indonesies,Italiaans,Japannees,Georgies ,Kazaks ,Khmer ,Kannada ,Koreaans,Kirgisies ,Litaus,Letties,Masedonies ,Malabaars ,Marathi ,Maleis,Birmaans,Boeknoors,Nederlands,Pandjabi,Pools,Portugees (Brasilië),Portugees (Portugal),Roemeens ,Russies,Slowaaks ,Sloweens ,Albanees,Serwies,Sweeds,Swahili,Tamil ,Teloegoe ,Thai,Filippyns ,Turks,Uighur,Oekraïens ,Oerdoe,Viëtnamees,Kantonees,Chinees (China),Chinees (Hongkong),Chinees (Tradisioneel)
ar,الأفريقانية,العربية,الأذربيجانية,البلغارية,البنغالية,البوسنية,الكتالونية,التشيكية,الدانمركية,الألمانية,اليونانية,الإنجليزية,الإسبانية,الإستونية,الباسكية,الفارسية,الفنلندية,الفرنسية,الأيرلندية,الجاليكية,الغوجاراتية ,العبرية,الهندية ,الكرواتية,الهنغارية,الإندونيسية,الإيطالية,اليابانية,الجورجية,الكازاخستانية,الخميرية,الكنادية,الكورية,القيرغيزية,الليتوانية,اللاتفية,المقدونية,المالايالامية,الماراثية,الماليزية,البورمية,النرويجية بوكمال,الهولندية,البنجابية,البولندية,البرتغالية البرازيلية (البرازيل),البرتغالية الأوروبية (البرتغال),الرومانية,الروسية,السلوفاكية,السلوفينية,الألبانية,الصربية,السويدية,السواحلية,التاميلية,التيلوغوية,التايلاندية,الفلبينية,التركية,الأويغورية,الأوكرانية,الأوردية,الفيتنامية,الكَنْتُونية,الصينية (الصين),الصينية (هونغ كونغ),الصينية التقليدية
az-AZ,Afrika dili,Ərəbcə,Azərbaycan dili,Bulqar dili,Banqladeş dili,Bosniya dili,Katalan dili,Çex dili,Danimarka dili,Alman dili,Yunan dili,İngilis dili,İspan dili,Eston dili,Bask dili,Farsca,Fin dili,Fransız dili,İrland dili,Qalisiya dili ,Qucarat dili,İvrit dili,Hind dili,Xorvat dili,Macar dili,İndoneziya dili,İtalyan dili,Yapon dili,Gürcü dili,Kazak dili,Kxmer dili,Kannada dili ,Koreya dili,Qırğız dili,Litva dili,Latış dili,Makedon dili,Malayalam dili ,Marathi dili,Malay dili,Birma dili,Norveç dili,Niderland dili,Pəncabi dili ,Polyak dili,Portuqal dili (Braziliya),Portuqal dili (Portuqaliya),Rumın dili,Rus dili,Slovak dili,Sloven dili,Alban dili,Serb dili,İsveç dili,Suahili dili,Tamil dili,Teluqu dili ,Tay dili,Filippin dili,Türk dili,Uyğur dili,Ukrayna dili,Urdu dili,Vyetnam dili,Kanton dili,Çin dili (Çin),Çin dili (Honkonq),Çin dili (Klassik)
bg-BG,Африканс,Арабски,Азербайджански,Български,Бенгалски,Босненски,Каталонски,Чешки,Датски,Немски,Гръцки,Английски,Испански,Естонски,Баски,Персийски,Фински,Френски,Ирландски,Галисийски,Гуджарати,Иврит,Хинди,Хърватски,Унгарски,Индонезийски,Италиански,Японски,Грузински,Казахски,Кхмерски,Каннада,Корейски,Киргизки,Литовски,Латвийски,Македонски,Малаялам,Марати,Малайски,Бирмански,Норвежки,Нидерландски,Пенджабски,Полски,Португалски (Бразилия),Португалски (Португалия),Румънски,Руски,Словашки,Словенски,Албански,Сръбски,Шведски,Суахили,Тамилски,Телугу,Тайски,Филипински,Турски,Уйгурски,Украински,Урду,Виетнамски,Кантонски,Китайски (Китай),Китайски (Хонконг),Китайски (традиционен)
bn-BD,আফ্রিকান ,আরবী,আজারবাইজানী ,বুলগেরিয় ,বাংলা ,বসনীয় ,কাতালান,চেক,ডেনিশ,জার্মান,গ্রিক,ইংরেজি,স্প্যানিশ,এস্তোনীয় ,বাস্ক,ফার্সি ,ফিনিশ,ফরাসি,আইরিশ ,গ্যালিশিয় ,গুজরাটি ,হিব্রু,হিন্দি ,ক্রোয়েশীয় ,হাঙ্গেরীয়,ইন্দোনেশীয়,ইতালিয়,জাপানি,জর্জিয়ান ,কাজাখ ,খমের ,কন্নড় ,কোরিয়ান,কির্গিজ ,লিথুয়েনীয় ,লাত্‌ভীয় ,ম্যাসিডোনীয় ,মালায়ালাম ,মারাঠি ,মালয়,বর্মি,নরওয়েজিয়ান বোকমাল,ওলন্দাজ,পাঞ্জাবী ,পোলিশ,পর্তুগীজ (ব্রাজিল),পর্তুগীজ (ইউরোপ),রোমানীয় ,রুশ,স্লোভাক ,স্লোভেনীয় ,আলবেনীয় ,সার্বীয়,সুইডিশ,সোয়াহিলি,তামিল ,তেলুগু ,থাই,ফিলিপিনো ,তুর্কী,উইঘুর,ইউক্রেনীয় ,উর্দু,ভিয়েতনামী,ক্যান্টোনিজ,চীনা (চীন),চীনা (হংকং),চীনা (ঐতিহ্যবাহী)
bs-BA,afrikaans,arapski,azerbajdžanski,bugarski,bengalski,bosanski,katalonski,češki,danski,njemački,grčki,engleski,španski,estonski,baskijski,perzijski,finski,francuski,irski,galicijski,gudžaratski,hebrejski,hindski,hrvatski,mađarski,indonezijski,talijanski,japanski,gruzijski,kazaški,kmerski,karnatački,korejski,kirgiski,litavski,latvijski,makedonski,malajalamski,marathski,malajski,burmanski,norveški bokmål,nizozemski,pandžapski,poljski,brazilski portugalski,europski portugalski,rumunjski,ruski,slovački,slovenski,albanski,srpski,švedski,svahilski,tamilski,teluški,tajski,filipinski,turski,ujgurski,ukrajinski,urdski,vijetnamski,kantonski,kineski (Kina),kineski (Hong Kong),kineski (tradicionalni)
ca,afrikaans,àrab,azerbaidjanès,búlgar,bengalí,bosnià,català,txec,danès,alemany,grec,anglès,espanyol,estonià,e,persa,finès,francès,irlandès,gallec,gujarati,hebreu,hindi,croat,hongarès,indonesi,italià,japonès,georgià,kazakh,khmer,kannada,coreà,kirguís,lituà,letó,macedoni,malaiàlam,marathi,malai,birmà,noruec bokmål,neerlandès,panjabi,polonès,portuguès del Brasil,portuguès de Portugal,romanès,rus,eslovac,eslovè,albanès,serbi,suec,suahili,tàmil,telugu,tailandès ,filipí,turc,uigur,ucraïnès,urdu,vietnamita,cantonès,xinès,xinès de Hong Kong,xinès tradicional
cs,Afrikánština,Arabština,Ázerbájdžánština,Bulharština,Bengálština,Bosenština,Katalánština,Čeština,Dánština,Němčina,Řečtina,Angličtina,Španělština,Estonština,basc,Perština,Finština,Francouzština,Irština,Galicijština,Gudžarátština,Hebrejština,Hindština,Chorvatština,Maďarština,Indonéština,Italština,Japonština,Gruzínština,Kazaština,Khmérština,Kannadština,Korejština,Kyrgyzština,Litevština,Lotyština,Makedonština,Malajálamština,Maráthština,Malajština,Barmština,Norština,Nizozemština,Paňdžábština,Polština,Portugalština (brazilská),Portugalština (evropská),Rumunština,Ruština,Slovenština,Slovinština,Albánština,Srbština,Švédština,Svahilština,Tamilština,Telugština,Thajština,Filipínština,Turečtina,Ujgurština,Ukrajinština,Urdština,Vietnamština,Kantonština,Čínština (Čína),Čínština (Hongkong),Čínština (tradiční)
da,Afrikaans,Arabisk,Aserbajdsjansk,Bulgarsk,Bengali,Bosnisk,Catalansk,Tjekkisk,Dansk,Tysk,Græsk,Engelsk,Spansk,Estisk,Baskisk,Persisk,Finsk,Fransk,Irsk,Galicisk,Gujarati,Hebraisk,Hindi,Kroatisk,Ungarsk,Indonesisk,Italiensk,Japansk,Georgisk,Kasakhisk,Khmer,Kannada,Koreansk,Kirgisisk,Litauisk,Lettisk,Makedonsk,Malayalam,Marathisk,Malajisk,Burmesisk,Bokmål,Nederlandsk,Punjabisk,Polsk,Brasiliansk portugisisk,Europæisk portugisisk,Rumænsk,Russisk,Slovakisk,Slovensk,Albansk,Serbisk,Svensk,Swahili,Tamil,Telugu,Thai,Filippinsk,Tyrkisk,Uygurisk,Ukrainsk,Urdu,Vietnamesisk,Kantonesisk,Kinesisk (Kina),Kinesisk (Hongkong),Traditionelt kinesisk
